order_id,order_date,country,sub_region,sales_channel,product_category,customer_segment,payment_method,shipping_mode,units_sold,net_sales_eur,discount_pct,delivery_days,return_status
EUO-2024-111557,2024-04-18,Germany,Western Europe,Mobile App,Sports,New,Bank Transfer,Standard,4,454.95,4.03,3.3,Not Returned
EUO-2025-108018,2025-05-31,Spain,Southern Europe,Website,Electronics,Returning,Bank Transfer,Economy,1,245.76,3.93,7.2,Not Returned
EUO-2025-108161,2025-08-05,France,Western Europe,Mobile App,Home & Living,VIP,PayPal,Express,2,159.09,14.57,3.5,Not Returned
EUO-2025-113833,2025-06-02,Poland,Central & Eastern Europe,Mobile App,Office Supplies,New,PayPal,Standard,1,36.82,5.6,5.7,Not Returned
EUO-2025-108953,2025-04-21,Germany,Western Europe,Website,Beauty,Returning,Credit Card,Standard,5,186.56,10.69,1.0,Not Returned
EUO-2025-108570,2025-10-27,Austria,Central Europe,Website,Home & Living,Returning,,Economy,1,122.36,11.12,8.8,Not Returned
EUO-2024-109537,2024-06-08,Belgium,Western Europe,Website,Electronics,New,Debit Card,Standard,4,2253.96,5.54,4.3,Not Returned
EUO-2024-102122,2024-06-03,France,Western Europe,Mobile App,Toys,Returning,,Economy,1,62.8,8.45,4.7,Returned
EUO-2025-103208,2025-07-07,France,Western Europe,Mobile App,Electronics,Returning,Buy Now Pay Later,Standard,1,328.38,10.0,5.2,Not Returned
EUO-2025-108604,2025-03-03,Ireland,Western Europe,Mobile App,Home & Living,Returning,Bank Transfer,Economy,1,297.17,16.85,8.4,
EUO-2024-106355,2024-08-28,Germany,Western Europe,Website,Electronics,New,Bank Transfer,Economy,1,375.04,2.62,4.5,Not Returned
EUO-2025-104209,2025-08-11,Spain,Southern Europe,Website,Home & Living,New,PayPal,Standard,4,687.58,5.56,3.9,Not Returned
EUO-2025-100736,2025-05-13,Spain,Southern Europe,Website,Pet Care,Returning,Apple Pay,Standard,1,17.09,36.71,6.2,Not Returned
EUO-2024-101373,2024-05-19,Poland,Central & Eastern Europe,Website,Beauty,,,Standard,2,32.65,3.12,7.2,Not Returned
EUO-2024-101056,2024-06-29,Portugal,Southern Europe,Marketplace,Beauty,VIP,Credit Card,Pickup Point,3,292.98,10.89,8.2,Not Returned
EUO-2024-103248,2024-08-11,Germany,Western Europe,Mobile App,Fashion,Returning,Apple Pay,Express,2,189.32,6.62,4.2,Returned
EUO-2024-107292,2024-05-11,Spain,Southern Europe,Mobile App,Sports,VIP,Debit Card,Pickup Point,6,484.63,7.86,6.1,Not Returned
EUO-2025-101491,2025-10-20,Spain,Southern Europe,Website,Electronics,,PayPal,Standard,1,435.22,6.01,5.8,Not Returned
EUO-2025-112896,2025-05-09,Spain,Southern Europe,Website,Electronics,New,Buy Now Pay Later,STANDARD,1,114.61,12.16,5.2,Not Returned
EUO-2024-108877,2024-07-01,Netherlands,Western Europe,Marketplace,Electronics,VIP,Apple Pay,Economy,2,1077.54,20.54,6.9,Returned
EUO-2024-101803,2024-10-30,Germany,Western Europe,Mobile App,Electronics,VIP,Buy Now Pay Later,Economy,2,181.24,5.27,8.4,Not Returned
EUO-2025-100251,2025-10-26,Spain,Southern Europe,Website,Beauty,Returning,Credit Card,Standard,1,52.1,3.33,4.4,Not Returned
EUO-2025-102039,2025-08-04,France,Western Europe,Marketplace,Beauty,New,Bank Transfer,Economy,3,106.01,7.3,10.2,Returned
EUO-2024-111039,2024-09-03,Spain,Southern Europe,Website,Toys,Returning,Credit Card,Standard,1,52.3,12.78,5.8,Not Returned
EUO-2024-111853,2024-04-13,Germany,Western Europe,Website,Beauty,,Apple Pay,Standard,1,19.09,6.0,3.9,Not Returned
EUO-2024-100476,2024-12-21,Germany,Western Europe,Mobile App,Fashion,Returning,Credit Card,Standard,4,346.87,8.41,3.2,Not Returned
EUO-2025-102955,2025-07-17,Spain,Southern Europe,Marketplace,Electronics,New,,Express,2,371.46,7.56,4.4,Not Returned
EUO-2025-113880,2025-03-29,Germany,Western Europe,Website,Fashion,Returning,Buy Now Pay Later,Standard,5,238.21,13.12,5.5,Returned
EUO-2025-102477,07-17-2025,France,Western Europe,Marketplace,Home & Living,Returning,Bank Transfer,Standard,1,34.98,,6.1,Not Returned
